time,latitude,longitude,RegionCode,SubRegion,SiteName,Depth,Location,InstrumentType,ProjectCode,tag_number,Fate,Deployment,Recovery,Duration,Species,BlockDimensions,PreWeightBlock,PreWeightEpoxied,PreVolume,PreRWDensity,PreCTDensity,PostWeightDirty,PostWeightClean,PostVolume,PostCTDensity,PostCTMacroboring,PostCTMacroboringRate,PostCTGrazing,PostCTGrazingRate,PostCTAccretion,PostCTAccretionRate,accession_url
UTC,degrees_north,degrees_east,,,,m,,,,,,UTC,UTC,years,,cm,g,g,cm3,g/cm3,g/cm3,g,g,cm3,g/cm3,cm3,cm3/yr,cm3,cm3/yr,cm3,cm3/yr,
2013-06-19T00:00:00Z,24.89748,-80.61796,FLK,upper,Cheeca,4,FLK_upper_4,BMU,NCRMP,2178,SUCCESSFULLY RECOVERED,2013-06-19T00:00:00Z,2017-03-29T00:00:00Z,3.78,Orbicella sp.,5x2x1,NaN,33.3421,NaN,1.551698646,1.72045488,30.9243,28.8598,4.735098839,1.65161835,0.068226814,0.018058584,NaN,NaN,0.716428757,0.189628,https://accession.nodc.noaa.gov/0184291
2013-06-19T00:00:00Z,24.89748,-80.61796,FLK,upper,Cheeca,4,FLK_upper_4,BMU,NCRMP,2181,SUCCESSFULLY RECOVERED,2013-06-19T00:00:00Z,2017-03-29T00:00:00Z,3.78,Orbicella sp.,5x2x1,NaN,33.2149,NaN,1.350194629,1.54720432,34.1697,30.9789,7.552877426,1.40928528,0.16062355,0.042514573,NaN,NaN,0.562911987,0.148994,https://accession.nodc.noaa.gov/0184291
2013-06-19T00:00:00Z,24.89748,-80.61796,FLK,upper,Cheeca,4,FLK_upper_4,BMU,NCRMP,2182,SUCCESSFULLY RECOVERED,2013-06-19T00:00:00Z,2017-03-29T00:00:00Z,3.78,Orbicella sp.,5x2x1,NaN,35.9652,NaN,1.493906305,1.68230607,33.6769,31.5271,6.728181839,1.50760154,0.112875938,0.029876517,NaN,NaN,0.638614655,0.169031,https://accession.nodc.noaa.gov/0184291
2013-06-19T00:00:00Z,24.89748,-80.61796,FLK,upper,Cheeca,4,FLK_upper_4,BMU,NCRMP,2183,SUCCESSFULLY RECOVERED,2013-06-19T00:00:00Z,2017-03-29T00:00:00Z,3.78,Orbicella sp.,5x2x1,NaN,35.3131,NaN,1.305400004,1.51093774,28.5274,25.1312,3.388526917,1.46055272,0.031963348,0.008460205,NaN,NaN,0.230764389,0.06108,https://accession.nodc.noaa.gov/0184291
2013-06-19T00:00:00Z,24.89748,-80.61796,FLK,upper,Cheeca,4,FLK_upper_4,BMU,NCRMP,2184,SUCCESSFULLY RECOVERED,2013-06-19T00:00:00Z,2017-03-29T00:00:00Z,3.78,Orbicella sp.,5x2x1,NaN,32.0953,NaN,1.34997659,1.54313396,33.8795,31.1685,7.349707603,1.47173466,0.065686226,0.017386129,NaN,NaN,1.040353775,0.275366,https://accession.nodc.noaa.gov/0184291
2014-06-30T00:00:00Z,18.34402,-64.98453,STT,south,Brewer's Bay,10,STT_south_15,BMU,NCRMP,4980,SUCCESSFULLY RECOVERED,2014-06-30T00:00:00Z,2017-08-15T00:00:00Z,3.13,O.faveolata,5x2x1,13.0875,29.7677,10.721,1.220735006,NaN,21.3629,19.7504,2.578928947,1.36913944,0.065505981,0.020936675,8.07657,2.581389011,0.119768143,0.03828,https://accession.nodc.noaa.gov/0184291
2013-06-19T00:00:00Z,24.89748,-80.61796,FLK,upper,Cheeca,4,FLK_upper_4,BMU,NCRMP,2179,BASE ONLY,2013-06-19T00:00:00Z,2017-03-29T00:00:00Z,3.78,Orbicella sp.,5x2x1,NaN,30.9351,NaN,1.331419601,1.52850991,21.4783,19.1966,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://accession.nodc.noaa.gov/0184291
2013-06-19T00:00:00Z,24.89748,-80.61796,FLK,upper,Cheeca,4,FLK_upper_4,BMU,NCRMP,2180,BASE ONLY,2013-06-19T00:00:00Z,2017-03-29T00:00:00Z,3.78,Orbicella sp.,5x2x1,NaN,35.4803,NaN,1.434159281,1.62520511,21.755,19.3191,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://accession.nodc.noaa.gov/0184291
2014-06-30T00:00:00Z,18.34402,-64.98453,STT,south,Brewer's Bay,10,STT_south_15,BMU,NCRMP,4976,BASE ONLY,2014-06-30T00:00:00Z,2017-08-15T00:00:00Z,3.13,O.faveolata,5x2x1,9.7555,26.1596,11.128,0.876662473,NaN,16.8527,16.2627,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://accession.nodc.noaa.gov/0184291
2014-06-30T00:00:00Z,18.34402,-64.98453,STT,south,Brewer's Bay,10,STT_south_15,BMU,NCRMP,4977,BASE ONLY,2014-06-30T00:00:00Z,2017-08-15T00:00:00Z,3.13,O.faveolata,5x2x1,9.6471,25.2667,11.051,0.872961723,NaN,16.5484,12.9902,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://accession.nodc.noaa.gov/0184291
2014-06-30T00:00:00Z,18.34402,-64.98453,STT,south,Brewer's Bay,10,STT_south_15,BMU,NCRMP,4978,BASE ONLY,2014-06-30T00:00:00Z,2017-08-15T00:00:00Z,3.13,O.faveolata,5x2x1,10.3008,26.656,11.328,0.909322034,NaN,17.2814,16.6879,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://accession.nodc.noaa.gov/0184291
2014-06-30T00:00:00Z,18.34402,-64.98453,STT,south,Brewer's Bay,10,STT_south_15,BMU,NCRMP,4979,BASE ONLY,2014-06-30T00:00:00Z,2017-08-15T00:00:00Z,3.13,O.faveolata,5x2x1,10.2208,25.3099,11.826,0.864265178,NaN,15.8747,14.6419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://accession.nodc.noaa.gov/0184291
2015-09-02T00:00:00Z,24.61123,-82.87045,DRTO,west,Bird Key Reef,13,DT_west_15,BMU,NCRMP,4913,SUCCESSFULLY RECOVERED,2015-09-02T00:00:00Z,2018-07-11T00:00:00Z,2.86,O.faveolata,5x2x1,11.876,26.0486,9.494440971,1.250837204,1.595972239,NaN,25.7203,8.941961288,1.289235698,0.294390678,0.103022625,0.258089005,0.090318779,0.374058723,0.130902621,https://accession.nodc.noaa.gov/0209107
2015-09-02T00:00:00Z,24.61123,-82.87045,DRTO,west,Bird Key Reef,14,DT_west_15,BMU,NCRMP,4914,SUCCESSFULLY RECOVERED,2015-09-02T00:00:00Z,2018-07-11T00:00:00Z,2.86,O.faveolata,5x2x1,12.3017,27.8037,9.797457466,1.255601266,1.617745034,NaN,25.2274,7.00627327,1.40847913,0.212988854,0.074535888,2.578195343,0.902244775,0.321942329,0.112664382,https://accession.nodc.noaa.gov/0209107
2015-09-02T00:00:00Z,24.61123,-82.87045,DRTO,west,Bird Key Reef,14,DT_west_15,BMU,NCRMP,4915,SUCCESSFULLY RECOVERED,2015-09-02T00:00:00Z,2018-07-11T00:00:00Z,2.86,O.faveolata,5x2x1,11.422,27.5665,9.929122261,1.150353445,1.647611546,NaN,23.0264,5.653100967,1.32587689,0.10751152,0.037623878,4.168509774,1.458778588,0.378084183,0.132311339,https://accession.nodc.noaa.gov/0209107
2015-09-02T00:00:00Z,24.61123,-82.87045,DRTO,west,Bird Key Reef,13,DT_west_15,BMU,NCRMP,4916,SUCCESSFULLY RECOVERED,2015-09-02T00:00:00Z,2018-07-11T00:00:00Z,2.86,O.faveolata,5x2x1,13.0151,29.0011,10.20439228,1.275440971,1.537039963,NaN,25.0901,6.959572792,1.38537311,0.207521439,0.072622555,3.037298049,1.062908713,0.137063026,0.047965489,https://accession.nodc.noaa.gov/0209107
2015-09-02T00:00:00Z,24.61123,-82.87045,DRTO,west,Bird Key Reef,14,DT_west_15,BMU,NCRMP,4917,SUCCESSFULLY RECOVERED,2015-09-02T00:00:00Z,2018-07-11T00:00:00Z,2.86,O.faveolata,5x2x1,14.74,32.5247,10.85277775,1.358177633,1.700524094,NaN,33.3727,10.44620419,1.45033752,0.240789414,0.084264752,0.165784147,0.058016504,0.947776794,0.331676443,https://accession.nodc.noaa.gov/0209107
2015-01-16T00:00:00Z,17.95355,-67.05065,PR,south,La Parguera,15,PR_south_15a,BMU,NCRMP,4923,SUCCESSFULLY RECOVERED,2015-01-16T00:00:00Z,2018-03-01T00:00:00Z,3.12,O.faveolata,5x2x1,14.0636,30.2116,10.64904372,1.320644404,1.17428547,NaN,30.3422,10.51484621,1.39606302,0.025234292,0.0080794,0.108963218,0.034887346,0.08007167,0.025636982,https://accession.nodc.noaa.gov/0209107
2015-01-16T00:00:00Z,17.95355,-67.05065,PR,south,La Parguera,15,PR_south_15a,BMU,NCRMP,4924,SUCCESSFULLY RECOVERED,2015-01-16T00:00:00Z,2018-03-01T00:00:00Z,3.12,O.faveolata,5x2x1,11.3535,28.0527,10.09845678,1.124280694,1.285549356,NaN,21.2363,3.775719555,1.306378264,0.263569604,0.084388514,6.059167621,1.93999665,0.217452648,0.069622997,https://accession.nodc.noaa.gov/0209107
2015-01-16T00:00:00Z,17.95355,-67.05065,PR,south,La Parguera,15,PR_south_15a,BMU,NCRMP,4925,SUCCESSFULLY RECOVERED,2015-01-16T00:00:00Z,2018-03-01T00:00:00Z,3.12,O.faveolata,5x2x1,13.066,29.3691,11.35269725,1.15091592,1.296589509,NaN,16.5508,0.207376098,1.47015207,0,0,11.14532115,3.568458088,0,0,https://accession.nodc.noaa.gov/0209107
2015-01-16T00:00:00Z,17.95355,-67.05065,PR,south,La Parguera,15,PR_south_15a,BMU,NCRMP,4926,SUCCESSFULLY RECOVERED,2015-01-16T00:00:00Z,2018-03-01T00:00:00Z,3.12,O.faveolata,5x2x1,16.43,33.4736,11.27088407,1.457738355,0.830255409,NaN,32.5599,10.83261804,1.45127251,0.369630878,0.118346729,0.068635152,0.02197529,0.05917184,0.01894537,https://accession.nodc.noaa.gov/0209107
2015-01-16T00:00:00Z,17.95355,-67.05065,PR,south,La Parguera,15,PR_south_15a,BMU,NCRMP,4927,SUCCESSFULLY RECOVERED,2015-01-16T00:00:00Z,2018-03-01T00:00:00Z,3.12,O.faveolata,5x2x1,14.2429,31.0073,10.02135343,1.421255133,1.051298918,NaN,22.2645,3.776474867,1.63241578,0.197891781,0.063360088,6.046986782,1.936096645,0.010419874,0.003336188,https://accession.nodc.noaa.gov/0209107
2014-05-26T00:00:00Z,17.78532,-64.75953,STX,north,Salt River,15,STX_north_15,BMU,NCRMP,4981,SUCCESSFULLY RECOVERED,2014-05-26T00:00:00Z,2018-05-06T00:00:00Z,3.95,O.faveolata,5x2x1,14.0751,30.2675,12.496,1.126368438,NaN,NaN,27.4437,9.76557827,1.111160213,0.718619545,0.182023688,2.011802185,0.509582094,0.838748528,0.212451917,https://accession.nodc.noaa.gov/0209107
2014-05-26T00:00:00Z,17.78532,-64.75953,STX,north,Salt River,15,STX_north_15,BMU,NCRMP,4982,SUCCESSFULLY RECOVERED,2014-05-26T00:00:00Z,2018-05-06T00:00:00Z,3.95,O.faveolata,5x2x1,13.2494,29.1637,12.14,1.091383855,NaN,NaN,29.6147,10.47180383,1.258118857,0.176399748,0.044681407,1.491796422,0.377866547,1.268126388,0.32121175,https://accession.nodc.noaa.gov/0209107
2014-05-26T00:00:00Z,17.78532,-64.75953,STX,north,Salt River,15,STX_north_15,BMU,NCRMP,4983,SUCCESSFULLY RECOVERED,2014-05-26T00:00:00Z,2018-05-06T00:00:00Z,3.95,O.faveolata,5x2x1,12.0356,27.8296,11.81,1.019102456,NaN,NaN,26.6422,9.441600804,1.160875592,0.148427444,0.037596126,2.219971752,0.56231068,0.605460033,0.1533608,https://accession.nodc.noaa.gov/0209107
2014-05-26T00:00:00Z,17.78532,-64.75953,STX,north,Salt River,15,STX_north_15,BMU,NCRMP,4984,SUCCESSFULLY RECOVERED,2014-05-26T00:00:00Z,2018-05-06T00:00:00Z,3.95,O.faveolata,5x2x1,12.0324,27.5485,11.243,1.070212577,NaN,NaN,27.9266,9.798331356,1.235390046,0.082423452,0.020877557,1.362245192,0.345051697,1.0142728,0.25691157,https://accession.nodc.noaa.gov/0209107
2014-05-26T00:00:00Z,17.78532,-64.75953,STX,north,Salt River,15,STX_north_15,BMU,NCRMP,4985,SUCCESSFULLY RECOVERED,2014-05-26T00:00:00Z,2018-05-06T00:00:00Z,3.95,O.faveolata,5x2x1,15.6086,30.8748,11.569,1.349174518,NaN,NaN,32.1326,11.45001047,1.40225424,0.092036517,0.023312511,0.026953013,0.006827099,0.991175694,0.251061158,https://accession.nodc.noaa.gov/0209107
2016-09-12T00:00:00Z,17.78532,-64.75953,STX,north,Salt River,15,STX_north_15,BMU,NCRMP,3275,SUCCESSFULLY RECOVERED,2016-09-12T00:00:00Z,2019-09-11T00:00:00Z,3,O. faveolata,5x2x1,16.5736,34.5211,11.2382,1.474755744,1.478839,40.701,36.449,10.3167,1.620056,-0.350721,-0.117015348,-1.272221,-0.424466691,1.94462,0.648807414,https://accession.nodc.noaa.gov/0224178
2016-09-12T00:00:00Z,17.78532,-64.75953,STX,north,Salt River,15,STX_north_15,BMU,NCRMP,3276,SUCCESSFULLY RECOVERED,2016-09-12T00:00:00Z,2019-09-11T00:00:00Z,3,O. faveolata,5x2x1,16.5837,33.981,11.3579,1.46010266,1.475521,38.493,35.302,10.7554,1.611608,-0.120266,-0.04012582,-0.722766,-0.241145283,1.23924,0.413462836,https://accession.nodc.noaa.gov/0224178
2016-09-12T00:00:00Z,17.78532,-64.75953,STX,north,Salt River,15,STX_north_15,BMU,NCRMP,3277,SUCCESSFULLY RECOVERED,2016-09-12T00:00:00Z,2019-09-11T00:00:00Z,3,O. faveolata,5x2x1,16.0866,33.0626,10.7935,1.490396998,1.499538,36.748,34.085,10.33,1.643328,-0.0485115,-0.016185487,-0.5120115,-0.170828675,0.915187,0.30534506,https://accession.nodc.noaa.gov/0224178
2016-09-12T00:00:00Z,17.78532,-64.75953,STX,north,Salt River,15,STX_north_15,BMU,NCRMP,3278,SUCCESSFULLY RECOVERED,2016-09-12T00:00:00Z,2019-09-11T00:00:00Z,3,O. faveolata,5x2x1,14.9768,32.5074,10.4925,1.427381463,1.435978,34.084,33.038,9.69953,1.56612,-0.214208,-0.071468842,-1.007178,-0.336037146,0.51822,0.172900093,https://accession.nodc.noaa.gov/0224178
2016-09-12T00:00:00Z,17.78532,-64.75953,STX,north,Salt River,15,STX_north_15,BMU,NCRMP,3279,SUCCESSFULLY RECOVERED,2016-09-12T00:00:00Z,2019-09-11T00:00:00Z,3,O. faveolata,5x2x1,17.7362,34.6669,11.6987,1.516082984,1.52625,39.075,36.413,11.1001,1.676176,-0.0522022,-0.01741686,-0.6508022,-0.217135118,1.35812,0.453126228,https://accession.nodc.noaa.gov/0224178
